url_prov,total_hotels,url,kabko,kabko_id
https://www.agoda.com/api/cronos/geo/NeighborHoods?pageTypeId=8&objectId=3188,20,/city/mentawai-island-id.html,Mentawai Island,512984
https://www.agoda.com/api/cronos/geo/NeighborHoods?pageTypeId=8&objectId=3188,16,/city/tarantang-id.html,Tarantang,734919
https://www.agoda.com/api/cronos/geo/NeighborHoods?pageTypeId=8&objectId=3188,12,/city/kasang-id.html,Kasang,734920
https://www.agoda.com/api/cronos/geo/NeighborHoods?pageTypeId=8&objectId=3188,8,/city/payakumbuh-id.html,Payakumbuh,513076
https://www.agoda.com/api/cronos/geo/NeighborHoods?pageTypeId=8&objectId=3188,7,/city/sawahlunto-id.html,Sawahlunto,390127
https://www.agoda.com/api/cronos/geo/NeighborHoods?pageTypeId=8&objectId=3188,7,/city/painan-id.html,Painan,709529
https://www.agoda.com/api/cronos/geo/NeighborHoods?pageTypeId=8&objectId=3188,6,/city/batusangkar-id.html,Batusangkar,702165
https://www.agoda.com/api/cronos/geo/NeighborHoods?pageTypeId=8&objectId=3188,5,/city/katurai-id.html,Katurai,734916
https://www.agoda.com/api/cronos/geo/NeighborHoods?pageTypeId=8&objectId=3188,4,/city/maninjau-id.html,Maninjau,710652
https://www.agoda.com/api/cronos/geo/NeighborHoods?pageTypeId=8&objectId=3188,4,/city/sigunturmuda-id.html,Sigunturmuda,161889
https://www.agoda.com/api/cronos/geo/NeighborHoods?pageTypeId=8&objectId=3188,3,/city/sarilamak-id.html,Sarilamak,734918
https://www.agoda.com/api/cronos/geo/NeighborHoods?pageTypeId=8&objectId=3188,3,/city/lubuk-alung-id.html,Lubuk Alung,734921
https://www.agoda.com/api/cronos/geo/NeighborHoods?pageTypeId=8&objectId=3188,2,/city/agam-id.html,Agam,702041
https://www.agoda.com/api/cronos/geo/NeighborHoods?pageTypeId=8&objectId=3188,1,/city/cudabak-id.html,Cudabak,734944
https://www.agoda.com/api/cronos/geo/NeighborHoods?pageTypeId=8&objectId=3180,173,/city/labuan-bajo-id.html,Labuan Bajo,669526
https://www.agoda.com/api/cronos/geo/NeighborHoods?pageTypeId=8&objectId=3180,59,/city/kupang-id.html,Kupang,105999
https://www.agoda.com/api/cronos/geo/NeighborHoods?pageTypeId=8&objectId=3180,54,/city/ende-id.html,Ende,669527
https://www.agoda.com/api/cronos/geo/NeighborHoods?pageTypeId=8&objectId=3180,18,/city/ruteng-id.html,Ruteng,702150
https://www.agoda.com/api/cronos/geo/NeighborHoods?pageTypeId=8&objectId=3180,15,/city/sumba-island-id.html,Sumba Island,19644
https://www.agoda.com/api/cronos/geo/NeighborHoods?pageTypeId=8&objectId=3180,14,/city/goron-talo-id.html,Goron Talo,719582
https://www.agoda.com/api/cronos/geo/NeighborHoods?pageTypeId=8&objectId=3180,12,/city/flores-id.html,Flores,18976
https://www.agoda.com/api/cronos/geo/NeighborHoods?pageTypeId=8&objectId=3180,7,/city/nemberala-id.html,Nemberala,734855
https://www.agoda.com/api/cronos/geo/NeighborHoods?pageTypeId=8&objectId=3180,6,/city/waingapu-id.html,Waingapu,709112
https://www.agoda.com/api/cronos/geo/NeighborHoods?pageTypeId=8&objectId=3180,6,/city/waigete-id.html,Waigete,728077
https://www.agoda.com/api/cronos/geo/NeighborHoods?pageTypeId=8&objectId=3180,5,/city/nangamese-id.html,Nangamese,734852
https://www.agoda.com/api/cronos/geo/NeighborHoods?pageTypeId=8&objectId=3180,5,/city/boa-id.html,Boa,734854
https://www.agoda.com/api/cronos/geo/NeighborHoods?pageTypeId=8&objectId=3180,5,/city/oenggaut-id.html,Oenggaut,734856
https://www.agoda.com/api/cronos/geo/NeighborHoods?pageTypeId=8&objectId=3180,4,/city/bajawa-id.html,Bajawa,513656
https://www.agoda.com/api/cronos/geo/NeighborHoods?pageTypeId=8&objectId=3180,3,/city/alor-besar-id.html,Alor Besar,734847
https://www.agoda.com/api/cronos/geo/NeighborHoods?pageTypeId=8&objectId=3180,3,/city/tambolaka-id.html,Tambolaka,671803
https://www.agoda.com/api/cronos/geo/NeighborHoods?pageTypeId=8&objectId=3187,315,/city/manado-id.html,Manado,19438
https://www.agoda.com/api/cronos/geo/NeighborHoods?pageTypeId=8&objectId=3187,58,/city/bitung-id.html,Bitung,669494
https://www.agoda.com/api/cronos/geo/NeighborHoods?pageTypeId=8&objectId=3187,5,/city/rinondoran-id.html,Rinondoran,710839
https://www.agoda.com/api/cronos/geo/NeighborHoods?pageTypeId=8&objectId=3187,2,/city/pondang-id.html,Pondang,734907
https://www.agoda.com/api/cronos/geo/NeighborHoods?pageTypeId=8&objectId=3187,2,/city/kalinaun-id.html,Kalinaun,734908
https://www.agoda.com/api/cronos/geo/NeighborHoods?pageTypeId=8&objectId=3187,2,/city/kotamobagu-id.html,Kotamobagu,513059
https://www.agoda.com/api/cronos/geo/NeighborHoods?pageTypeId=8&objectId=3187,1,/city/likupang-id.html,Likupang,736926
https://www.agoda.com/api/cronos/geo/NeighborHoods?pageTypeId=8&objectId=3187,1,/city/tarorane-id.html,Tarorane,734943
https://www.agoda.com/api/cronos/geo/NeighborHoods?pageTypeId=8&objectId=3187,1,/city/tahuna-id.html,Tahuna,725492
