url_kabko,total_hotels,url,subkabko,subkabko_id
https://www.agoda.com/api/cronos/geo/NeighborHoods?pageTypeId=5&objectId=8691,68,/cibubur/maps/jakarta-id.html,Cibubur,93426
https://www.agoda.com/api/cronos/geo/NeighborHoods?pageTypeId=5&objectId=8691,67,/tanah-abang/maps/jakarta-id.html,Tanah Abang,573524
https://www.agoda.com/api/cronos/geo/NeighborHoods?pageTypeId=5&objectId=8691,65,/kebayoran-lama/maps/jakarta-id.html,Kebayoran Lama,519723
https://www.agoda.com/api/cronos/geo/NeighborHoods?pageTypeId=5&objectId=8691,58,/ancol/maps/jakarta-id.html,Ancol,70095
https://www.agoda.com/api/cronos/geo/NeighborHoods?pageTypeId=5&objectId=8691,56,/pasar-baru/maps/jakarta-id.html,Pasar Baru,94073
https://www.agoda.com/api/cronos/geo/NeighborHoods?pageTypeId=5&objectId=8691,51,/monas/maps/jakarta-id.html,Monas,94071
https://www.agoda.com/api/cronos/geo/NeighborHoods?pageTypeId=5&objectId=8691,50,/north-jakarta/maps/jakarta-id.html,North Jakarta,26644
https://www.agoda.com/api/cronos/geo/NeighborHoods?pageTypeId=5&objectId=8691,43,/gatot-subroto/maps/jakarta-id.html,Gatot Subroto,573525
https://www.agoda.com/api/cronos/geo/NeighborHoods?pageTypeId=5&objectId=8691,43,/kepulauan-seribu/maps/jakarta-id.html,Kepulauan Seribu,496259
https://www.agoda.com/api/cronos/geo/NeighborHoods?pageTypeId=5&objectId=8691,40,/halim/maps/jakarta-id.html,Halim,496258
https://www.agoda.com/api/cronos/geo/NeighborHoods?pageTypeId=5&objectId=8691,1,/west-jakarta/maps/jakarta-id.html,West Jakarta,26646
https://www.agoda.com/api/cronos/geo/NeighborHoods?pageTypeId=5&objectId=734768,19,/sarangan/maps/sarangan-id.html,Sarangan,590248
https://www.agoda.com/api/cronos/geo/NeighborHoods?pageTypeId=5&objectId=161672,1,/pangkalanjati-baru/maps/kalibata-id.html,Pangkalanjati Baru,590343
https://www.agoda.com/api/cronos/geo/NeighborHoods?pageTypeId=5&objectId=17772,13,/kecamatan/maps/sumbawa-id.html,Kecamatan,58904
https://www.agoda.com/api/cronos/geo/NeighborHoods?pageTypeId=5&objectId=17772,6,/sekateng/maps/sumbawa-id.html,Sekateng,535614
https://www.agoda.com/api/cronos/geo/NeighborHoods?pageTypeId=5&objectId=17772,3,/lempeh/maps/sumbawa-id.html,Lempeh,535616
https://www.agoda.com/api/cronos/geo/NeighborHoods?pageTypeId=5&objectId=17772,2,/brang-biji/maps/sumbawa-id.html,Brang Biji,535615
https://www.agoda.com/api/cronos/geo/NeighborHoods?pageTypeId=5&objectId=17772,1,/penyaring/maps/sumbawa-id.html,Penyaring,590467
https://www.agoda.com/api/cronos/geo/NeighborHoods?pageTypeId=5&objectId=16842,457,/gili-trawangan/maps/lombok-id.html,Gili Trawangan,34402
